substrate,system,score,year,venue_or_source,category,key_evidence
S1_Instructions,Cursor Rules,3,2024,docs.cursor.com/rules,Production-IDE,".cursor/rules/*.mdc multi-scope + MCP attach; git-tracked"
S1_Instructions,AGENTS.md,2,2026,arXiv:2601.20404,Open-Standard,"60k+ repos; Lulla et al. -28.64% runtime, -16.58% tokens"
S1_Instructions,Claude Code CLAUDE.md,4,2025,docs.anthropic.com,Production-IDE,"4 scoping levels incl. org-IT policy + auto-memory layer"
S1_Instructions,GitHub Copilot Custom Instructions,3,2024,docs.github.com,Production-IDE,".github/copilot-instructions.md; base-branch versioned"
S1_Instructions,Windsurf Cascade Rules,3,2024,docs.windsurf.com,Production-IDE,".windsurf/rules + global_rules.md; MCP supported"
S1_Instructions,Continue.dev Rules,3,2024,docs.continue.dev,Production-IDE,".continue/rules; MCP servers"
S1_Instructions,Aider Conventions,2,2024,aider.chat,Production-CLI,"CONVENTIONS.md + .aider.conf.yml"
S1_Instructions,Lovable Knowledge,2,2024,docs.lovable.dev,Production-WebIDE,"10k char DB fields; not git"
S1_Instructions,Replit replit.md,4,2025,docs.replit.com,Production-WebIDE,"Agent itself writes scaffold from project learning"
S1_Instructions,Zed AI Rules,3,2024,zed.dev/docs,Production-IDE,".rules + multi-format; MCP via custom server"
S1_Instructions,VS Code Copilot Instructions,3,2024,code.visualstudio.com,Production-IDE,".github/instructions/*.instructions.md"
S1_Instructions,Cody / Sourcegraph,2,2024,sourcegraph.com,Production-IDE,".vscode/cody.json custom commands"
S2_Skills,Anthropic Claude Agent Skills,3,2025,anthropic.com/engineering,Production,"Progressive disclosure 3-level SKILL.md+scripts"
S2_Skills,Claude Code Skills,3,2025,docs.anthropic.com,Production,"Live reload; LangChain Skills 29%→95% pass"
S2_Skills,Anthropic/skills GitHub repo,2,2025,github.com/anthropics/skills,Open-Source,"Plugin packages; PR-modified"
S2_Skills,Voyager,4,2023,arXiv:2305.16291,Research,"3.3x items, 15.3x tech-tree speed; self-verification loop"
S2_Skills,NanoResearch Skill Bank,4,2026,arXiv:2605.10813,Research,"Innovation 4.96→5.65; Compliance 6.66→8.96"
